appid,short_description
1019,"Foosball - Street Edition is a 5 VS 5 arcade football game, that puts you in the control of 9 teams of foosball players, each one with unique skills and abilities. Enjoy playing football with awesome characters in crazy locations!"
1020,"The original video game femme fatale, Rayne, has returned to battle and feed in a brand new hack ‘n slash adventure. Slay ghastly enemies as Rayne, the sexy dhampir with superhuman strength, speed, and agility, recruited by the vampire hunting Brimstone Society for one last mission."
1021,"Urban myths are stories that may or may not have been believed to be true. Unlike most, some are actually based on real events. One of them, takes place in a haunted forest, near a cemetery, on the borders of a city, near you."
1022,Deal another deadly blow to fascism!
1023,"Disciples GOLD takes the phenomenal gameplay, stunning graphics, over 100 spells and a powerful scenario editor of Disciples and adds new scenarios and gameplay features that set the new standard in Turn-Based Strategy."
1024,"Carmageddon is the original freeform driving sensation, where pedestrians (and cows!) equal points, and your opponents are a bunch of crazies in a twisted mix of automotive killing machines. The game features anarchic drive-wherever-you-like gameplay and over-the-top surreal comedy violence. It’s the racing game where racing is for wimps."
1025,"Rip, jump and scrub your way to victory with over 35 tracks in this vastly extended version! Only the Encore edition features the brand new Rhythm Racing mode, extra outdoor Nationals tracks, and exclusive Waypoint races in open world maps."
1026,"In This War Of Mine you do not play as an elite soldier, rather a group of civilians trying to survive in a besieged city; struggling with lack of food, medicine and constant danger from snipers and hostile scavengers. The game provides an experience of war seen from an entirely new angle."
1027,"As Leon, the world’s most dangerous bounty hunter, you embark on a mission to slay the world’s weirdest creatures, and save a girl from an awful marriage."
1028,"From the creators of Amnesia: The Dark Descent comes SOMA, a sci-fi horror game set below the waves of the Atlantic ocean. Struggle to survive a hostile world that will make you question your very existence."
1029,"Build and command a fleet of starships and travel between planets as you explore, build, negotiate, and fight to preserve your vision for humanity."
1030,"SuperPower 2 is the only global geopolitical simulation game which allows players to control entire countries. Players control countries in 3 major areas: political, economic and military, but this time, in a beautiful real-time 3D environment."
1031,"Massive scale 4X-RTS set in space. Control hundreds of planets, manipulate galactic politics, research numerous advanced technologies, and command thousands of units and hundreds of planets in your quest for galactic dominance."
1032,"Simple in concept, but very challenging and rewarding,Circuits is a puzzle game that requires careful listening to complete each level. The goal of Circuits : piece together the different parts of a song. Sounds easy, but maybe not."
1033,"100% Orange Juice is a digital multiplayer board game populated by developer Orange Juice's all-star cast. Characters from Flying Red Barrel, QP Shooting, Suguri and Sora come together with all-new characters to duke it out... with dice."
1034,"Set during the events of WW2, Strategic War in Europe is a classic turn-based strategy game that combines a deep strategic layer with accessibility and ease-of-use."
1035,The Kingdom of Oukoku is threatened by the spicy influence of General Tso. Citizens have placed their hope in a small knight who fits the requirements of ancient legends. Which path will the Chibi Knight choose...
1036,"A writer has died. His daughter seeks the help of you, Ord Salamon, to find his secret last novel. During the search, questions will emerge. Did her father really kill himself? What is the secret novel all about? What is going on at the island of Fardo?"
1037,Spoiler Alert is a video game that tests your platforming skills… in reverse. It’s a comedy platformer that you play backwards.
1038,"In Eurofighter Typhoon, you are flying the famous Eurofighter on top of Iceland to fight against Russian troops which invade the country and prevent the outbreak of World War III. Quickly outnumbered, the ICEFOR has been abandoned by NATO but has been able to deploy a small number of the new Typhoon aircraft."
